Gene,LogFC,P_value,P_adjusted
TRPT1,-0.0012604262422915014,0.8520450729860295,0.9305516624885253
TRPV1,-0.012493406778965266,0.22814247477928698,0.46594991200540353
TRPV2,-0.030437512786473775,0.06947749501337057,0.242402739156645
TRPV4,0.05779105161911735,0.07243926283916134,0.2476953683613098
TRPV6,0.01787361346881866,0.0756800357664081,0.2541885424366871
TRRAP,0.0004175587250352386,0.9541163188585404,0.9795348839200482
TRUB1,0.009111169058129143,0.3074089794179251,0.5481102424814737
TRUB2,-0.010648359538453,0.03823782385568013,0.16825235177830009
TSC1,-0.010743817704293335,0.04380385335968101,0.1835903135520292
TSC22D1,-0.005200732341875014,0.5033129106139898,0.7131626991504939
TSC22D2,-0.019454160754844185,0.042161467607842625,0.1787939152795768
TSC22D3,0.003519809057130008,0.6419143321137073,0.8114082982480725
TSC22D4,0.004708303836102878,0.3574748782249132,0.5956405698935426
TSC2,0.0004170944105164054,0.9237848065276426,0.9657723361577559
TSEN15,-0.0058464112390410605,0.27171935425230376,0.5116277781247294
TSEN2,-0.006027314190188093,0.29093170256744366,0.5313877455680357
TSEN34,-0.005043790394218206,0.20773013147631494,0.4422423367063467
TSEN54,-0.010072404735261387,0.12032134278734703,0.3265508973385727
TSFM,-0.009262785842972576,0.0525190941754953,0.20606166404079834
TSG101,0.001321024884775035,0.6452617693937277,0.8134412747092926
TSG1,-0.06684169388412564,0.2237475744089775,0.46094490020659334
TSGA10,0.0365608898999259,0.02964159505894981,0.1448322686859128
TSGA14,0.010775022765491027,0.12027682579590769,0.32653327116639047
TSHR,-0.06266826387765279,0.20960882296104363,0.44478224510968684
TSHZ1,0.007299012151629203,0.37444150479709015,0.6114645250636708
TSHZ2,0.03531487691204038,0.254763933721808,0.49438970097598256
TSHZ3,0.012161588605548612,0.3589267658376173,0.5971126118818428
TSKU,0.011439476487101086,0.1668049969058493,0.39199634551563617
TSLP,-0.007666145057682261,0.8342902157078455,0.9211424933008189
TSNARE1,-0.007238431858881178,0.3626915319415288,0.6005370723787362
TSNAXIP1,-0.011298191273797276,0.6641843297283225,0.8254550620425716
TSNAX,0.008446456781741052,0.06995128572159269,0.24303259222559395
TSN,-0.004151502576185795,0.2631751396411076,0.5029273164585247
TSPAN10,-0.023625858423479862,0.5017821276226746,0.7118819739960867
TSPAN11,0.02185675806155185,0.43163106701543685,0.6576591792176344
TSPAN12,-0.03517392942781594,0.012904907544230038,0.08852569077763602
TSPAN13,-0.0023382863043024393,0.7525243240820638,0.8775546578558464
TSPAN14,0.011464211679611314,0.012697435541746089,0.08777411509032514
TSPAN15,0.0028542299944289695,0.791811205291546,0.8985083955431268
TSPAN17,-0.0013966455862512994,0.8004996878919113,0.903508826787039
TSPAN18,0.016133227748959644,0.3862184704941357,0.6230547189575713
TSPAN19,0.0035752431406523844,0.9682225948371952,0.9849340335560168
TSPAN1,0.04589610714709336,4.429711864773884e-05,0.0036900835969610186
TSPAN2,0.002288974421645662,0.9104282346411062,0.9598492275713024
TSPAN31,0.011672715133856482,0.06563527432106932,0.2342270327908598
TSPAN32,-0.07384135523643054,0.07550235871390142,0.25385544334265353
TSPAN33,-0.012086802335674829,0.12680113623199846,0.3363656367294237
TSPAN3,-0.0033532317641427056,0.3940323870534612,0.6289526425528633
TSPAN4,-0.022803661222758453,0.05858597803165063,0.21946707596027507
TSPAN5,-0.01684788652392699,0.5844492889565414,0.7730179172850419
