Gene,LogFC,P_value,P_adjusted
METTL5,0.006086052290155131,0.8202605148451417,0.9598689581196165
METTL6,-0.007924442969225787,0.4582197515303883,0.8726304207350908
METTL7A,0.027563368905773267,0.5358881765923167,0.8958468261749858
METTL7B,-0.10439802915980456,0.7105515787981564,0.9327489422000733
METTL8,0.01339563479581729,0.5893772275007803,0.908011360457496
METTL9,0.002546964715861133,0.8253008029082991,0.9608526155467668
MET,0.07102384109994597,0.40125886907682295,0.8628582484319791
MEX3A,-0.0806723618611036,0.2750043159717305,0.8619564607543061
MEX3B,-0.09171417349094879,0.16527100893296634,0.8619564607543061
MEX3C,-0.0210261976207744,0.29906131552769344,0.8619564607543061
MEX3D,-0.06275481957869333,0.005461613740834639,0.8619564607543061
MFAP1,-0.00046295420141317933,0.9664718473657914,0.993450140054238
MFAP2,0.05880671122743619,0.402507594393706,0.8628582484319791
MFAP3L,0.03986842040328309,0.3691594454107441,0.8627464734930657
MFAP3,0.006990475255305384,0.5382804769651182,0.8959309135915599
MFAP4,0.06419896437825834,0.387293904011506,0.8627464734930657
MFAP5,0.23696522272280562,0.25233637159150396,0.8619564607543061
MFF,-0.022136583408661537,0.18627279737460936,0.8619564607543061
MFGE8,0.03903826970876345,0.3333848676589405,0.8619841669731307
MFHAS1,-0.004270718200291235,0.9136757908726693,0.9813635618108422
MFI2,-0.043438184322035944,0.590541440194486,0.908011360457496
MFN1,-0.01821645885631451,0.27504017999978675,0.8619564607543061
MFN2,0.02354510018566547,0.2682569019485044,0.8619564607543061
MFNG,0.0449237228451298,0.39626934115368073,0.8628582484319791
MFRP,0.039422487608232526,0.33636045460009634,0.8619841669731307
MFSD10,-0.05550230570769088,0.002684079509988908,0.8619564607543061
MFSD11,-0.01097161616438802,0.5791367534368539,0.9061353357303359
MFSD1,0.007441238708941977,0.6427672402278434,0.9197197264204962
MFSD2A,0.08306076706371535,0.5080072960823101,0.8893709166485201
MFSD2B,-0.0009347367652581262,0.991594448744999,0.9977076110757453
MFSD3,0.0024411284714060955,0.9300268340616957,0.9859520500296981
MFSD4,-0.15008347514783793,0.07393780420458582,0.8619564607543061
MFSD5,0.022625720415070827,0.26022513646188533,0.8619564607543061
MFSD6L,-0.04762076090239731,0.8473424657661337,0.9657912352378584
MFSD6,0.006956434178930326,0.8432147824206245,0.9647176414633439
MFSD7,0.010923691245186884,0.8726567651810494,0.9714169918836147
MFSD8,-0.0144593434082112,0.3799620756180495,0.8627464734930657
MFSD9,-0.0050462705369112015,0.8970536683790243,0.9768510140036453
MGAM,-0.19341606858141658,0.4774659888094145,0.8776902857102047
MGAT1,0.009199913419649874,0.45178942512437326,0.871016728017003
MGAT2,-0.01488582412649686,0.3714618051048252,0.8627464734930657
MGAT3,0.08480050485828983,0.44105084236900294,0.867936639189667
MGAT4A,0.05511278320135782,0.19822385494509956,0.8619564607543061
MGAT4B,-0.031937133297263554,0.021403397751116802,0.8619564607543061
MGAT5B,-0.08072678526959542,0.7187749811084485,0.935669164250961
MGAT5,-0.031248354285073887,0.7380589303119567,0.9395872737313973
MGA,-3.269049989551576e-05,0.9983729204749845,0.9996840649271901
MGC12916,-0.1786163618909462,0.08977079406706961,0.8619564607543061
MGC12982,-0.10296686962023216,0.10541402750201978,0.8619564607543061
MGC14436,-0.053558448678653114,0.7504282262633737,0.942389142239846
MGC16121,-0.11175934356992534,0.515935006259248,0.8921851340062468
MGC16142,-0.05701857236479713,0.4433688196994944,0.867936639189667
MGC16275,-0.02273259161136565,0.5322279286216494,0.895122330027354
MGC16384,-0.14844067650705695,0.40517503118851617,0.8631607109262912
MGC16703,0.173960808432418,0.42922493010299356,0.8663707248375295
MGC21881,-0.03149032166244092,0.23311519376632162,0.8619564607543061
MGC23270,0.17344634081002708,0.42342546372661216,0.8641205580830348
MGC23284,-0.04239766437749637,0.25224893934537024,0.8619564607543061
MGC2752,0.019255253961466767,0.14000410705019228,0.8619564607543061
MGC29506,0.19179687507313714,0.22531401380231603,0.8619564607543061
MGC3771,0.05582873871476579,0.3138419213889499,0.8619841669731307
MGC42105,0.004975570208439084,0.9543364806994541,0.9900872493668978
MGC45800,0.1465663343185597,0.4268234733182833,0.866244272610557
MGC57346,-0.029193350208785773,0.5219168188450398,0.8929260634376246
MGC70857,0.01850760602111201,0.25873948154009324,0.8619564607543061
MGC72080,-0.0007164259338012791,0.981178627140374,0.9965517656466467
MGC87042,0.009278480826090174,0.7891316099728619,0.9514749389322995
MGEA5,-0.0064408991180520125,0.5370740689049935,0.8959309135915599
MGLL,0.06484383624853729,0.12233194255575752,0.8619564607543061
MGMT,-0.007184799911069462,0.83827684893543,0.9636775243151157
MGP,0.06391810358568462,0.3319341749403821,0.8619841669731307
MGRN1,-0.009853860068755882,0.10363631772872225,0.8619564607543061
MGST1,-0.023664555303877677,0.3982436637705875,0.8628582484319791
MGST2,0.011298765123037402,0.5556333787492085,0.9005032733895875
MGST3,0.03911379419044492,0.07130357310083404,0.8619564607543061
MIA2,-0.762162828319642,0.0017749411631201655,0.8619564607543061
MIA3,0.05563911335636407,0.12912959660841317,0.8619564607543061
MIAT,0.014733230372935502,0.845090728910961,0.9651762968845552
MIA,-0.2739371267599784,0.04679862304304656,0.8619564607543061
MIB1,0.0008104895510174792,0.9573579580015149,0.9911850647929857
MIB2,-0.03391660593415313,0.09929742334848257,0.8619564607543061
MICAL1,0.017760403655028068,0.7758655209925173,0.9480946054325494
MICAL2,0.031810742631412925,0.2783579218883855,0.8619564607543061
MICAL3,0.013546425290799746,0.5747941250910775,0.9046510643643174
MICALCL,-0.0713523217155192,0.39230509585412543,0.8627464734930657
MICALL1,0.029160047902919484,0.2993901570579389,0.8619564607543061
MICALL2,-0.019008819714194214,0.5127816295859652,0.891427791053046
MICA,0.039570866546494,0.3289629710487439,0.8619841669731307
MICB,-0.06404434214565136,0.21050769146097484,0.8619564607543061
MID1IP1,-0.0328651647991558,0.3374466400025534,0.8619841669731307
MID1,0.052305536914179385,0.4761893307576808,0.8776047301411626
MID2,0.01633665783877758,0.5754513239535526,0.9046510643643174
MIDN,-0.01636627723814632,0.2727873804995537,0.8619564607543061
MIER1,0.002003557525355415,0.9387017776013273,0.9885561628467546
MIER2,-0.019107321755244655,0.1323415039131295,0.8619564607543061
MIER3,-0.0029348475456245637,0.9193970613522758,0.9833207534506899
MIF4GD,0.0015929125912421682,0.9332523041233662,0.9862622232334786
MIF,-0.01127261647958866,0.347392612996709,0.8619841669731307
MIIP,-0.025291062390360164,0.2671697234567704,0.8619564607543061
MINA,-0.023904668982293042,0.18359381693307242,0.8619564607543061
MINK1,-0.030350062277579415,0.02799328641701201,0.8619564607543061
MINPP1,-0.03656958785997855,0.03612833785442844,0.8619564607543061
MIOS,0.004381002064641759,0.7936509494274933,0.9524643374599641
MIOX,-0.48695133631905296,0.07404910467647827,0.8619564607543061
MIPEP,0.005353393819170993,0.9394783085609619,0.9890681766313656
MIPOL1,0.024499138308075707,0.4216183370927018,0.8641205580830348
MIP,-0.14028997977197943,0.2849154502069201,0.8619564607543061
MIR155HG,0.11691361534836053,0.370988754486525,0.8627464734930657
MIR17HG,-0.23811453333482513,0.006623823890291507,0.8619564607543061
MIS12,-0.02848102958874854,0.026168962698356897,0.8619564607543061
MITD1,-0.03519331558411265,0.05824235037112283,0.8619564607543061
MITF,0.040744106492525134,0.48739002339926973,0.8820350901572207
MKI67IP,-0.026904017441812922,0.12933212924122345,0.8619564607543061
MKI67,-0.06836656849912259,0.35516610587621256,0.8627464734930657
MKKS,0.020333273605172675,0.23439901446858727,0.8619564607543061
MKL1,0.017379240154560716,0.44495716330910884,0.8690070084565391
MKL2,0.02198490256473029,0.40049971083840286,0.8628582484319791
MKLN1,0.012828620847348926,0.5707276563428665,0.9046510643643174
MKNK1,-0.021330503523849575,0.38586704943454164,0.8627464734930657
MKNK2,-0.008524362825937715,0.6518254728130146,0.9218021426305862
MKRN1,0.006139741333983206,0.7969912678606762,0.9534083507125594
MKRN2,-0.013926731328518294,0.3014626893693209,0.8619564607543061
MKRN3,-0.10618452496311015,0.7295664549369605,0.9376522618985322
MKS1,-0.0062303118701825255,0.7107769298572083,0.9327489422000733
MKX,0.09228131579488608,0.19108012514366013,0.8619564607543061
MLC1,0.4434434102277236,0.04522127232303941,0.8619564607543061
MLEC,0.021282591169486054,0.21558850449092587,0.8619564607543061
MLF1IP,-0.07718382153800807,0.260235527875543,0.8619564607543061
MLF1,-0.11519643896925302,0.027435085414672253,0.8619564607543061
MLF2,0.006924386667102045,0.6315635924492434,0.9175791886711491
MLH1,-0.0200133152341464,0.05361639658247657,0.8619564607543061
MLH3,-0.0004170956894014033,0.9697235884497744,0.9938793692663273
MLKL,0.03632195996430587,0.5011221190495073,0.8861253037451796
MLL2,-0.0003350825864081308,0.9920408603570985,0.9978405559503046
MLL3,-0.008033075486040708,0.6622436330208215,0.923613915945009
MLL4,-0.023421136224559547,0.3103835243720482,0.8619564607543061
MLL5,0.01830091125583877,0.6844693724634247,0.9298649103643742
MLLT10,-0.013158412650785767,0.5807180295362957,0.9062354355755882
MLLT11,0.026291206734319506,0.5106398198091368,0.8905972315731232
MLLT1,-0.010824363347398336,0.2851721842517373,0.8619564607543061
MLLT3,0.006609445538541703,0.8414713400973922,0.9641098499402575
MLLT4,0.036723765529617314,0.18570392248623033,0.8619564607543061
MLLT6,0.006029909881811957,0.8050466000508711,0.9564934246379025
MLL,0.0007532511368739669,0.9758454177837821,0.9950883518684228
MLPH,-0.00700308321924803,0.8655543348257966,0.969304345929472
MLST8,-0.01765194061554487,0.36431128805255186,0.8627464734930657
MLXIPL,-0.07216882731954666,0.42754253030538314,0.8663356577667413
MLXIP,-0.010513453136919981,0.7953951566427702,0.952852788331096
MLX,0.0108343367597179,0.6223510033813151,0.9159755234484528
MLYCD,0.024313795507994396,0.47586272919432904,0.8776047301411626
MMAA,-0.008954506305299148,0.6720499093816098,0.9263295600215029
MMAB,-0.0028199007859930347,0.9024400782373321,0.9781889940573041
MMACHC,-0.0029980214734615096,0.9308184113590082,0.9860565460480435
MMADHC,0.007479419785580976,0.3875767658358341,0.8627464734930657
MMD,-0.054632151250778804,0.28704733725292314,0.8619564607543061
MMEL1,0.08963027882225827,0.663405861745936,0.923789408364824
MME,0.11331076741224866,0.31552050158360034,0.8619841669731307
MMGT1,-0.009448586363953737,0.6956556369386092,0.9305914141686407
MMP10,-0.09525806330202524,0.4954332369971627,0.8839079607398386
MMP11,-0.06098615219143433,0.19550796247745214,0.8619564607543061
MMP12,0.03024672629861147,0.8927467982679901,0.9762056782405433
MMP13,-0.05311417411669672,0.8518212153216591,0.9663662044034108
MMP14,0.06116330597588826,0.14187722040608897,0.8619564607543061
MMP15,-0.008785151529823843,0.8312268185735039,0.9621288311621498
MMP16,-0.009664684072076213,0.9328411846251898,0.9862622232334786
MMP17,0.13169486595501967,0.36678417097165483,0.8627464734930657
MMP19,0.003149525332222236,0.9221979362836553,0.9838360159097909
MMP1,-0.12257482984874146,0.6142430936471635,0.9138567138450092
MMP21,0.012078475706768566,0.9554290622539076,0.9904341316639771
MMP23B,0.015422401358425653,0.7786767760284636,0.9485892171674039
MMP24,0.0015493590145849723,0.9616256624749702,0.992508629275657
MMP25,-0.0867732867323765,0.06533479655881748,0.8619564607543061
MMP26,0.057467619660956704,0.8394499124285966,0.9638030870293346
MMP28,0.11824656964802349,0.33729236307945726,0.8619841669731307
MMP2,0.04932514698603496,0.1731960018940353,0.8619564607543061
MMP3,-0.36086091675562737,0.09074801262229093,0.8619564607543061
MMP7,0.04955641347066431,0.6867132137871325,0.9298834676269808
MMP9,-0.01259713511387428,0.8648877119304689,0.969304345929472
MMRN1,0.13356476837717102,0.27224914071255574,0.8619564607543061
MMRN2,0.062170536392092135,0.16910678955109074,0.8619564607543061
MMS19,-0.013779401736853547,0.12901540715112167,0.8619564607543061
MN1,0.13040645105391535,0.1673476568584041,0.8619564607543061
MNAT1,-0.034286530420606365,0.24104843493816022,0.8619564607543061
MND1,-0.1687150204124377,0.33749730779185394,0.8619841669731307
MNDA,0.11489591730273574,0.2604225997230879,0.8619564607543061
MNS1,-0.03482816037142333,0.5622681334648458,0.9022281736714626
MNT,-0.015052950476760696,0.39336199072716427,0.8628582484319791
MNX1,-0.34232456407874645,0.010221323759618806,0.8619564607543061
MOAP1,-0.014230250951917878,0.24797219553475722,0.8619564607543061
MOB2,0.023816228163846542,0.5546799457379921,0.9005032733895875
MOBKL1A,-0.0028708756278152947,0.857762616004903,0.9676863759097399
MOBKL1B,0.01614492686009461,0.6762664301931065,0.9263295600215029
MOBKL2A,0.01244248530197778,0.5069355603490961,0.8887024906778669
MOBKL2B,0.043645138760485924,0.3766094633788557,0.8627464734930657
MOBKL2C,0.02633139264695661,0.3941473458779815,0.8628582484319791
MOBKL3,-0.01826537019901986,0.2770839481329987,0.8619564607543061
MOCOS,-0.06654975930746954,0.16554359157565643,0.8619564607543061
MOCS1,0.06639948796698958,0.1284957544376355,0.8619564607543061
MOCS2,0.02611993337499907,0.3029055140032977,0.8619564607543061
MOCS3,-0.031464518920851337,0.27901345166926034,0.8619564607543061
MOGAT2,0.12754978300385567,0.6233129479730044,0.9159755234484528
MOGS,-0.004078579150944783,0.8208622869047079,0.9598689581196165
MON1A,-0.03661682361782992,0.10273179269671599,0.8619564607543061
MON1B,0.06122249243778688,0.18457909202652498,0.8619564607543061
MON2,-0.01743691109728207,0.3095874790092978,0.8619564607543061
MORC2,0.01063318314802375,0.3452978467506622,0.8619841669731307
MORC3,-0.0004100149621346638,0.9864869681934587,0.9972565083732423
MORC4,-0.014584074191461127,0.47713655982605163,0.8776047301411626
MORF4L1,-0.00420250376447262,0.7001809227000417,0.9323960774215415
MORF4L2,-0.012955046116697844,0.13892554580465782,0.8619564607543061
MORF4,0.029217512672979895,0.7771490535787307,0.9480946054325494
MORN1,0.02773265734813446,0.5850860246344451,0.9078665232274665
MORN2,0.00031534631284335646,0.990428195488793,0.9977076110757453
MORN3,0.3012515451605142,0.14846239311109205,0.8619564607543061
MORN4,0.038739530141365996,0.3353343610807356,0.8619841669731307
MORN5,0.3322775392033408,0.12684561172808273,0.8619564607543061
MOSC1,0.0021169834687371214,0.9492997432863308,0.9897823567153443
MOSC2,-0.014850493718195246,0.5029980485281045,0.8879651839277487
MOSPD1,-0.007802558921137237,0.6822750558047608,0.929026383046006
MOSPD2,0.03789562938499591,0.41205209078586114,0.8641205580830348
MOSPD3,-0.01131703003405482,0.5425585015777522,0.8977389607199883
MOV10L1,0.2056688179072692,0.25464494019386197,0.8619564607543061
MOV10,0.00601812454271311,0.7941583115485475,0.9524643374599641
MOXD1,0.04086947556428955,0.551693658824493,0.9000134110986407
MPDU1,0.025894364621798616,0.40436885747578266,0.8628582484319791
MPDZ,0.009525044732411558,0.682822837513493,0.9292002582479368
MPEG1,0.06710732168911715,0.35602604304747565,0.8627464734930657
MPG,0.006460765607823049,0.7267582349022448,0.9369962336112162
MPHOSPH10,-0.006983208585633616,0.6839030176749074,0.9297565727557424
MPHOSPH6,-0.052774565574608356,0.051773309222867596,0.8619564607543061
MPHOSPH8,0.0020101533342757882,0.8880954946339799,0.9753170865094445
MPHOSPH9,-0.06214519293822551,0.22681815665611205,0.8619564607543061
MPI,0.004673798442871746,0.7699282752603246,0.9461100431445101
MPL,0.10765750566055532,0.06551120264201618,0.8619564607543061
MPND,-0.02074052715459107,0.25388932563005956,0.8619564607543061
MPO,0.2904706288685861,0.00781820257881667,0.8619564607543061
MPP1,-0.009374859251372936,0.8213329162662364,0.9598992807039338
MPP2,0.014514861122397082,0.8314403574477442,0.9621525652834723
MPP3,-0.029188282379807973,0.7056962846593193,0.9327489422000733
MPP4,-0.03977491033425584,0.7931106929068772,0.9524070540596123
MPP5,0.03552198295794673,0.010017131360563205,0.8619564607543061
MPP6,0.030935908060684802,0.48875695632909555,0.8830758460817375
MPP7,-0.003601932534337493,0.904025909313515,0.978521510021954
MPPE1,0.021311288086794722,0.23536116626603623,0.8619564607543061
MPPED1,0.2137390779773054,0.40668529968791844,0.8633564813885052
MPPED2,0.12239145321006051,0.26480535116295845,0.8619564607543061
