project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.creation_datetime	portions.is_ffpe	portions.portion_id	portions.portion_number	portions.state	portions.submitter_id	portions.weight
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	887af908-58f3-4a0d-b3e3-a5e16fd32af8	DTB-188-BL	'--	'--	973d1184-b669-5ec2-b6a9-791685a9cdb1	'--	'--	'--	'--
WCDT-MCRPC	0578a056-378a-4494-9589-277fb039d581	DTB-188	95646972-ec77-480b-8be2-6c6f5448b150	DTB-188-N	'--	'--	b29dd4e4-0592-565f-bd47-53fe052d1803	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	'--	'--	c24e9d7b-f8d2-5bf4-8bde-c16ea10ceeba	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	'--	'--	1cd95128-a862-5bf5-abf6-202e56330b55	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	c998b7e7-e966-4660-9454-a4355793a442	DTB-170-BL	'--	'--	c503f1e4-7435-5a24-bb16-d4bce08bce70	'--	'--	'--	'--
WCDT-MCRPC	31dc6441-0e02-4775-bd86-b9717a8c5629	DTB-170	d3f2f858-3c4d-4007-8601-41f939e78223	DTB-170-N	'--	'--	562abaa6-572d-5fe8-8411-df2e4a42e547	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	079df89c-9bdd-45d8-bfad-654a49c8d0ad	DTB-060-N	'--	'--	389a868d-ccac-5907-b420-b826e3f98416	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	'--	'--	624bf530-c923-543f-bd32-3dacd68273c7	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	'--	'--	0dae3234-9925-5af7-8a03-0215a64f8c89	'--	'--	'--	'--
WCDT-MCRPC	7ea8761b-8e62-4afa-850e-1601e4b53fbf	DTB-060	d2ba98fd-042b-4173-bce9-b39333f827ab	DTB-060-BL	'--	'--	c3e101c9-8278-500a-b8a3-9cacfb82ed45	'--	'--	'--	'--
WCDT-MCRPC	fafb202b-36e5-4be5-8c5d-d46a9f310eb7	DTB-100	32335a35-f4a7-4a2e-a08f-6e0048fe1b28	DTB-100-N	'--	'--	72946bb2-9967-55e5-a124-b3b28985f21a	'--	'--	'--	'--
