project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_type_id	analytes.analyte_volume	analytes.concentration	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	6e3181ea-6b5e-59cb-9ae9-43014fb5c394	'--	'--	'--	dac3abef-9dd7-58b5-82f5-1d9292a824fe	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	2c02bcf1-97ef-43aa-b15d-523f1ac1f6a1	DTB-214	ea22b076-4597-4242-afa8-9ad57f0a2c68	DTB-214-BL	d1126b70-190f-50a1-8838-c9bbb66b8d71	'--	'--	'--	cf6ef07a-0a5b-558d-b457-c0af8d5e919e	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	0462d251-7cea-4e30-aea3-3a2980a29292	DTB-187-N	c5ff1f9b-6dea-5ff3-a50c-ea902bcc5c71	'--	'--	'--	68de2f06-bdc6-5f22-a6a5-f2bff7931f21	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	93ab69c6-31f3-57fd-aeb0-f370a2ba33fb	'--	'--	'--	409d62ac-7c76-5027-b591-fd129fd39076	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	a0ea68f7-1a6f-5d0b-8373-8ade09d49849	'--	'--	'--	5fbe5734-dae5-55ec-8211-85567f52bfa3	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	074e4294-e2f7-4723-9ed2-a5372f1e0f14	DTB-187	9cd093c0-6bf0-43ac-a5c1-0024dfdf7e69	DTB-187-BL	fd1df61b-ac17-575c-be18-5de580707a72	'--	'--	'--	bb6cb75e-b22b-5fb0-91fa-a22237c26821	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	7b3db0e4-b695-52bf-8869-d3d7536b5bbf	'--	'--	'--	24f9e60d-47b2-57ad-8d82-73b82ccc1167	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	735ff80e-5680-5fa2-aab4-8e48cf9af810	'--	'--	'--	403e347c-0694-5515-8ee3-6c99ad28874f	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	2a9ccb75-595c-4f1d-b211-352ecd8227ca	DTB-064-BL	403249d0-447f-53df-91b9-c0d42840992a	'--	'--	'--	f8bc36da-d911-5d76-a942-93ed670f5052	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
WCDT-MCRPC	92e291b1-ea80-4890-be5a-2bf479de13b7	DTB-064	e1a5feb8-f7e5-46d3-8250-3f53ef9742c2	DTB-064-N	cedf563a-9b8e-50ec-a93e-fefa0e4933fe	'--	'--	'--	3c14babb-da3b-5afc-8cb2-9cb000a54395	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--	'--
